Tag	Count	First used	First video	Last used	Last video
origin maine	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
sof	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
rangers	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
green baret	1	2019-11-27	r70l9Qjzfow	2019-11-27	r70l9Qjzfow
victory	161	2019-12-12	S1ctMlVSbro	2023-02-02	Gp-ZCDOS-nk
french foreign legion	1	2019-12-26	wtqe5msnGAY	2019-12-26	wtqe5msnGAY
appel	1	2019-12-26	wtqe5msnGAY	2019-12-26	wtqe5msnGAY
patton	1	2020-01-23	v2xt9G2uk8A	2020-01-23	v2xt9G2uk8A
speech	1	2020-01-23	v2xt9G2uk8A	2020-01-23	v2xt9G2uk8A
lt dan	1	2020-02-20	hNdixeXugUw	2020-02-20	hNdixeXugUw
forrest gump	1	2020-02-20	hNdixeXugUw	2020-02-20	hNdixeXugUw
foundation	1	2020-02-20	hNdixeXugUw	2020-02-20	hNdixeXugUw
va	1	2020-02-20	hNdixeXugUw	2020-02-20	hNdixeXugUw
therapy	1	2020-02-26	GnJ7WOD4EM4	2020-02-26	GnJ7WOD4EM4
holocaust	1	2020-03-04	Th1t1UvnYP4	2020-03-04	Th1t1UvnYP4
survivor	1	2020-03-04	Th1t1UvnYP4	2020-03-04	Th1t1UvnYP4
mortuary	1	2020-03-12	vt6RmeQa_98	2020-03-12	vt6RmeQa_98
warriors	1	2020-03-12	vt6RmeQa_98	2020-03-12	vt6RmeQa_98
nasa	1	2020-03-18	yujP3-AxXsI	2020-03-18	yujP3-AxXsI
astronaut	1	2020-03-18	yujP3-AxXsI	2020-03-18	yujP3-AxXsI
texas	1	2020-03-25	yjrQayR_S8k	2020-03-25	yjrQayR_S8k
congressman	1	2020-03-25	yjrQayR_S8k	2020-03-25	yjrQayR_S8k
martyrmade	1	2020-04-09	piPCztMMJLk	2020-04-09	piPCztMMJLk
jocko publishing	2	2020-04-23	oymhXVCR53s	2021-03-04	IHv0H9M4XWM
aviation	1	2020-05-27	01a6sJgD0Dk	2020-05-27	01a6sJgD0Dk
2-28	1	2020-06-24	yMJciWG5uXM	2020-06-24	yMJciWG5uXM
national guard	1	2020-06-24	yMJciWG5uXM	2020-06-24	yMJciWG5uXM
new york	1	2020-07-01	sM22h9ccPvQ	2020-07-01	sM22h9ccPvQ
sambo	1	2020-07-01	sM22h9ccPvQ	2020-07-01	sM22h9ccPvQ
technique	1	2020-07-08	I3BUFSNV0pk	2020-07-08	I3BUFSNV0pk
ptsd	1	2020-08-06	lD6J-hzAw0E	2020-08-06	lD6J-hzAw0E
music	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
soundtrack	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
no history	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
acoustic	1	2020-08-19	xvJb19ZSXGQ	2020-08-19	xvJb19ZSXGQ
